N_ACTIVE_LINES,N_SUSPENDED_LINES,DEBT_CAPACITY,AGE,INCOME,OLDEST_LINE_MONTHS,SAME_BILLING_3M,DIGITAL_BILL,MB_3G_USE,MB_4G_USE,VOICE_IN_3M,VOICE_OUT_3M,SUBSCRIPTION_FLAG
2,0,570,,173.6999967,27,1,1,0,0,0.7999,0.7999,0
1,0,80,39,79.000056,12,0,1,0,0,0,0,0
1,0,120,,29.90000112,5,1,1,4.9,2077.8,60.5667,81.6664,0
0,1,0,34,62.9000003,14,1,1,9.8,17.9,101.5669,418.7003,1
1,0,186,,65.89946,39,0,1,50.3,9547,260.8001,917.3007,1
0,1,0,,62.9000003,11,0,0,0,0,0,0.1,0
1,0,0,,45.90000462,5,1,1,1571.2,4372,528.0336,1447.2675,1
0,1,90,27,59.90000016,4,0,1,0,0,0,14.4669,1
1,0,0,,45.90000462,2,0,1,197.6,1490.4,3.8334,3.8334,1
2,0,460,29,91.80000924,2,0,1,62.2,1594.8,41.3999,41.3999,1
2,0,302,31,81.80000248,9,1,1,479.7,10628.5,,1773.9174,0
1,0,220,49,45.90000462,3,0,1,247.5,847.9,363.717,363.717,0
3,0,408,55,309.5994591,54,1,1,71,2067,107.967,456.2661,1
2,0,130,53,55.80005712,9,1,1,0,0,251.3335,732.0501,1
1,0,186,28,65.89946,6,1,1,52.3,3389.5,149.1671,1308.4665,0
1,0,330,24,45.90000462,5,1,0,167.8,4478.1,27.5167,68.367,1
2,0,0,36,183.7000011,30,0,1,740.3,52800.4,518.2332,1217.5847,1
1,0,140,32,29.90000112,3,0,0,171.6,6948.5,121.9502,123.3836,0
1,0,0,27,62.9000003,8,1,1,581.3,17818.7,336.1331,670.7671,1
1,0,110,42,48.999972,6,1,1,0,0,0,0,1
1,0,90,34,20.900042,3,0,0,471.7,3417.6,129.4668,999.6497,0
1,0,190,28,62.9000003,9,1,0,454.7,4951,119.2169,339.4511,1
2,0,140,40,71.80001932,23,0,0,7689.1,0,102.6334,474.1672,0
1,0,141,25,20.900042,4,0,0,4019.1,0,283.3498,612.2163,0
1,0,0,29,29.90000112,6,1,1,111,4110.7,,458.9839,1
1,0,0,31,20.900042,8,1,0,706.3,0,1229.5828,2000.6,1
1,0,60,48,29.90002,20,1,0,0,0,13.6501,35.6168,1
1,0,110,31,59.90000016,5,1,1,1087.2,12285.8,4296.1829,5014.4003,0
1,0,80,29,20.900042,11,1,1,66.5,2699.5,365.134,1095.701,0
1,0,0,36,65.89946,4,0,1,93.2,19859.7,245.334,437.9182,0
1,0,230,44,25.900056,4,0,0,364.2,4153.4,107.8839,270.6177,1
1,0,90,44,20.900042,10,1,1,1864.6,2166.2,209.967,537.6673,1
1,0,160,33,62.9000003,7,0,1,1150.1,6409,206.834,612.968,0
1,0,332,30,20.900042,11,1,1,925.8,1792.4,154.0666,398.4673,1
0,1,90,28,85.90000098,3,0,1,114.3,18247.3,265.3504,266.7338,0
1,0,310,28,78.89999908,33,1,1,2606.2,22232.1,51.8669,154.9,0
1,0,210,28,79.000056,12,1,0,0,0,0,0,0
0,1,120,29,69.000028,28,0,0,0,0,0,0,1
1,0,81,25,62.9000003,8,1,1,75.1,6027.1,290.2502,734.2507,0
1,0,80,25,52.89999944,8,1,1,91,13189.8,73.4499,712.5496,0
0,1,160,25,41.89999932,14,0,1,0,0,483.3169,645.5168,1
0,1,130,44,65.89946,5,0,1,0,0,2.0666,678.3006,0
1,0,120,50,25.900056,26,1,1,18.7,3627.8,289.1666,1201.9165,1
1,0,510,34,85.90000098,78,1,1,1975.9,7383.4,42.9674,233.2673,0
1,0,194,29,85.90000098,80,1,1,17.3,377.2,553.217,2101.2357,0
2,0,464,29,132.8000001,26,1,1,331.5,16403.3,188.4999,594.4835,0
0,1,130,34,62.9000003,19,1,1,0,0,0,0,1
1,0,180,43,62.9000003,28,0,1,48.7,9239,174.6498,605.6508,1
1,0,340,27,85.90000098,26,1,1,110.5,7023.8,708.4501,1284.0835,1
1,0,150,31,41.90000168,11,1,1,63.3,1774.4,1306.0485,2454.932,1
1,0,42,33,41.90000168,13,1,1,409.9,57.9,51.8004,277.3004,1
2,0,264,24,92.8000203,16,1,1,476,30487,435.8665,1637.0167,1
1,0,200,55,78.89999908,32,1,1,178.4,15420.1,7.2669,45.6505,1
1,0,160,31,45.90000462,6,1,1,1663.7,1853,301.4674,953.9349,0
0,1,0,39,102.8000483,9,0,1,0.7,3.4,488.7004,1079.9169,0
1,0,284,52,78.89999908,17,0,1,573.9,8559.9,310.9832,1005.5335,0
1,0,299,44,85.90000098,3,0,1,28.5,5120.7,310.7163,311.9996,1
1,0,515,37,78.89999908,57,0,1,17.5,4300.1,105.3504,744.5167,0
0,2,173,26,120.7999984,17,0,1,3152.5,2713.8,708.4001,980.7336,1
2,0,263,36,160.6994576,11,0,1,3777,56071,328.2501,572.4328,1
1,0,200,43,62.9000003,22,1,1,222.2,34843.9,33.1335,89.4167,1
1,0,200,27,59.90000016,28,1,1,396.1,8013.3,444.8004,1404.201,0
1,0,125,28,29.90002,7,1,0,2468.2,0,80.1835,225.8672,0
1,0,80,33,29.90002,2,0,0,0,0,78.6337,225.7667,0
2,0,171,51,50.800062,31,1,1,1697,0,219.9836,969.85,0
1,0,90,49,25.900056,6,1,1,208.1,4848.5,229.967,625.7664,0
1,0,210,35,114.7999993,20,1,1,468.9,29900.6,5.25,17.9333,1
1,0,252,37,62.9000003,48,1,1,31,14855.8,114.5501,314.417,0
1,1,110,39,18.978,7,1,0,235.7,745.6,0,26.873,
3,0,311,39,182.7000006,7,0,1,208.7,11795.3,610.4829,1889.0338,1
1,0,270,46,85.90000098,29,1,1,14734,41750.9,100.5835,245.2674,1
1,0,199,54,41.90000168,52,1,1,29.3,2024.5,97.2006,208.9844,0
1,0,210,37,29.90000112,2,0,0,0,0,0,0,1
1,0,130,39,39.9000008,9,1,0,2.7,997.2,108.4667,300.4335,1
1,0,140,49,39.900048,11,1,0,405.9,9061.3,45.1833,177.1162,1
1,0,120,43,62.9000003,10,1,1,0.2,4533,196.8998,305.7995,1
1,0,420,34,62.9000003,9,1,1,212.6,35552.3,114.4834,284.4176,1
1,0,110,57,59.90000016,2,0,1,2149.7,6752,396.8505,396.8505,1
1,0,180,39,78.89999908,15,1,1,653.9,9456.8,69.5337,232.6171,1
1,0,121,41,25.900056,4,0,1,23.7,1411,153.85,580.8167,0
2,0,190,36,134.899488,29,1,1,174.8,3905.6,55.9163,164.7665,0
1,0,262,36,41.89999932,31,1,1,556.8,1997,59.8498,167.2332,1
1,0,0,27,62.9000003,14,0,1,2010.7,10494.8,568.334,871.9845,1
0,1,170,51,45.90000462,20,0,0,0,0,0,134.3834,1
1,0,126,48,65.89946,26,1,1,23.2,1483.5,134.1336,668.6344,1
1,0,0,28,114.7999993,32,1,1,604.6,2880.2,418.2498,1100.4489,1
1,0,330,28,45.90000462,42,1,1,27,1324.2,121.2664,320.2502,1
1,0,0,28,29.90000112,4,0,1,53.1,2011.8,26.6501,61.567,0
1,0,140,26,59.90000016,2,0,1,1,431.2,2.4333,2.4333,1
1,0,151,24,45.90000462,40,1,1,21.1,4637.6,148.8168,501.6842,1
1,0,200,25,104.7999984,19,1,1,406.7,4524.8,143.7842,524.3345,0
1,0,90,24,20.900042,11,1,1,1100.9,0,65.5999,216.4995,1
1,1,298,52,147.7000006,26,0,1,46.1,1755.9,177.8001,562.7501,1
1,0,207,35,78.89999908,35,1,0,815.4,15632.3,666.5338,2014.718,0
1,0,210,43,94.00000006,12,1,1,0,0,0,0,1
1,0,280,37,62.9000003,13,1,1,61.3,11433.8,171.4168,562.4997,1
1,0,173,45,52.89999944,12,0,1,100.3,1095.8,358.8168,1402.7843,1
3,0,368,40,137.7000044,45,1,1,2137.3,20067.9,730.4838,2264.8013,1
1,0,191,56,62.9000003,14,1,1,914.5,6624.2,68.2333,137.6667,1
1,0,0,42,41.90000168,9,1,1,132.9,3157.4,110.0339,195.0352,1
1,0,0,39,62.9000003,19,1,1,1359.5,3776.9,8.5001,39.1503,1
